"","rep","pop_init","crash_prop","tl","ts","ss","model","filename","simindfile"
"1",1,500,0.1,100,200,20,"decline","c:/temp/slim_rep1_pop500_tl100_crash0.1_ts-ybp200_modeldecline_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_15000.120010020.txt"
"2",1,200,0.1,100,200,20,"decline","c:/temp/slim_rep1_pop200_tl100_crash0.1_ts-ybp200_modeldecline_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_62000.120010020.txt"
"3",1,500,0.5,100,200,20,"decline","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modeldecline_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_115000.520010020.txt"
"4",1,200,0.5,100,200,20,"decline","c:/temp/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modeldecline_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_162000.520010020.txt"
"5",1,500,0.1,100,200,20,"expansion","c:/temp/slim_rep1_pop500_tl100_crash0.1_ts-ybp200_modelexpansion_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_15000.120010020.txt"
"6",1,200,0.1,100,200,20,"expansion","c:/temp/slim_rep1_pop200_tl100_crash0.1_ts-ybp200_modelexpansion_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_62000.120010020.txt"
"7",1,500,0.5,100,200,20,"expansion","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modelexpansion_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_115000.520010020.txt"
"8",1,200,0.5,100,200,20,"expansion","c:/temp/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelexpansion_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_162000.520010020.txt"
"9",1,500,0.1,100,200,20,"bottle","c:/temp/slim_rep1_pop500_tl100_crash0.1_ts-ybp200_modelbottle_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_15000.120010020.txt"
"10",1,200,0.1,100,200,20,"bottle","c:/temp/slim_rep1_pop200_tl100_crash0.1_ts-ybp200_modelbottle_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_62000.120010020.txt"
"11",1,500,0.5,100,200,20,"bottle","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modelbottle_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_115000.520010020.txt"
"12",1,200,0.5,100,200,20,"bottle","c:/temp/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelbottle_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_162000.520010020.txt"
"13",1,500,0.1,100,200,20,"stable","c:/temp/slim_rep1_pop500_tl100_crash0.1_ts-ybp200_modelstable_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_15000.120010020.txt"
"14",1,200,0.1,100,200,20,"stable","c:/temp/slim_rep1_pop200_tl100_crash0.1_ts-ybp200_modelstable_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_62000.120010020.txt"
"15",1,500,0.5,100,200,20,"stable","c:/temp/slim_rep1_pop500_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_115000.520010020.txt"
"16",1,200,0.5,100,200,20,"stable","c:/temp/slim_rep1_pop200_tl100_crash0.5_ts-ybp200_modelstable_ss20test13-11.vcf","C:/Users/Isobel/Desktop/Honours/geohippos/sim_ind_162000.520010020.txt"
